old_tips,new_tips
Myrcia_reticulosa,Myrcia_reticulosa
Myrcia_venulosa,Myrcia_venulosa
Myrcia_thyrsoidea,Myrcia_thyrsoidea
Myrcia_anceps,Myrcia_anceps
Myrcia_suffruticosa,Myrcia_suffruticosa
Myrcia_eriopus,Myrcia_eriopus
Myrcia_splendens,Myrcia_splendens
Myrcia_microphylla,Myrcia_microphylla
Myrcia_bracteata,Myrcia_bracteata
Myrcia_coumete,Myrcia_coumete
Myrcia_eximia,Myrcia_eximia
Myrcia_elevata,Myrcia_elevata
Myrcia_isaiana,Myrcia_isaiana
Myrcia_megaphylla,Myrcia_megaphylla
Myrcia_rorida,Myrcia_rorida
Myrcia_torta,Myrcia_torta
Myrcia_multiflora,Myrcia_multiflora
Myrcia_rubella,Myrcia_rubella
Myrcia_decorticans,Myrcia_decorticans
Myrcia_polyantha,Myrcia_polyantha
Myrcia_micropetala,Myrcia_micropetala
Myrcia_spathulifolia,Myrcia_spathulifolia
Myrcia_racemosa,Myrcia_racemosa
Myrcia_blanchetiana,Myrcia_blanchetiana
Myrcia_sessilissima,Myrcia_sessilissima
Myrcia_platyclada,Myrcia_platyclada
Myrcia_inaequiloba,Myrcia_inaequiloba
Myrcia_grandis,Myrcia_grandis
Marlierea_caudata,Marlierea_caudata
Marlierea_mcvaughii,Marlierea_mcvaughii
Calyptranthes_multiflora,Calyptranthes_multiflora
Myrcia_saxatilis,Myrcia_saxatilis
Marlierea_umbraticola,Marlierea_umbraticola
Myrcia_rupta,Myrcia_rupta
Myrcia_abbottiana,Myrcia_abbottiana
Myrcia_maricaensis,Myrcia_maricaensis
Myrcia_minutiflora,Myrcia_minutiflora
Marlierea_obscura,Marlierea_obscura
Marlierea_riedeliana,Myrcia_neoriedeliana
Marlierea_suaveolens,Marlierea_suaveolens
Marlierea_tomentosa,Marlierea_tomentosa
Marlierea_neuwiedeana,Myrcia_neuwiedeana
Marlierea_regeliana,Myrcia_neoregeliana
Marlierea_excoriata,Myrcia_excoriata
Marlierea_sucrei,Myrcia_sucrei
Myrcia_marianae,Myrcia_marianae
Marlierea_glabra,Marlierea_glabra
Marlierea_obversa,Myrcia_obversa
Myrcia_eumecephylla,Myrcia_eumecephylla
Myrcia_clavija,Myrcia_clavija
Myrcia_hexasticha,Myrcia_hexasticha
Myrcia_tetraphylla,Myrcia_tetraphylla
Marlierea_dimorpha,Myrcia_neodimorpha
Myrcia_riodocensis,Myrcia_riodocensis
Myrcia_amazonica,Myrcia_amazonica
