"species","lat","lon"
"Myrcia_vittoriana",-20.4675,"-40.343889"
"Myrcia_decorticans",-9.559167,"-35.91667"
"Myrcia_decorticans",-9.559167,"-35.91667"
"Myrcia_hebepetala",-24.16667,"-46.78333"
"Myrcia_hartwegiana",-22.75,"-45.5"
"Myrcia_brasiliensis",-22.930035,"-42.294925"
"Myrcia_hartwegiana",-22.75,"-45.5"
"Myrcia_hartwegiana",-22.76660851,"-45.52264443"
"Myrcia_brasiliensis",-22.930035,"-42.294925"
"Myrcia_sucrei",-15.17361,"-39.34167"
"Myrcia_vittoriana",-15.15,"-39.06667"
"Myrcia_vittoriana",-15.15,"-39.08333"
"Myrcia_tetraphylla",-15.15,"-39.08333"
"Myrcia_bicolor",-15.15,"-39.08333"
"Myrcia_tetraphylla",-15.15,"-39.08333"
"Myrcia_ferruginosa",-15.15,"-39.08"
"Myrcia_neoregeliana",-15.15806,"-39.52861"
"Myrcia_neoregeliana",-15.15806,"-39.52861"
"Myrcia_neoregeliana",-15.15806,"-39.52861"
"Myrcia_neoregeliana",-15.15806,"-39.52861"
"Myrcia_neoregeliana",-15.15806,"-39.52861"
"Myrcia_bicolor",-15.15806,"-39.52861"
"Myrcia_bicolor",-15.153576,"-39.52416714"
"Myrcia_obversa",-16.87779,"-39.26971"
"Myrcia_tetraphylla",-15.2933,"-39.0753"
"Myrcia_vittoriana",-14.61667,"-39.51667"
"Myrcia_neoregeliana",-15.15806,"-39.52861"
"Myrcia_decorticans",-9.787222,"-35.87167"
"Myrcia_bicolor",-15.16194,"-39.53889"
"Myrcia_obversa",-14.31164,"-39.02417"
"Myrcia_decorticans",-11.21028,"-37.26528"
"Myrcia_obversa",-14.61667,"-39.45"
"Myrcia_excoriata",-17.138056,"-40.426111"
"Myrcia_neuwiedeana",-14.249165,"-39.125941"
"Myrcia_bicolor",-15.173611,"-39.341667"
"Myrcia_subterminalis",-15.16736,"-39.33417"
"Myrcia_neoregeliana",-16.403611,"-40.054444"
"Myrcia_bicolor",-15.16736,"-39.33417"
"Myrcia_decorticans",-12.78,"-38.79"
"Myrcia_subterminalis",-15.16736,"-39.33417"
"Myrcia_sucrei",-15.17417,"-39.33944"
"Myrcia_subterminalis",-15.16742,"-39.33394"
"Myrcia_obversa",-15.17361,"-39.34167"
"Myrcia_bicolor",-15.20028,"-39.40081"
"Myrcia_obversa",-15.18944,"-39.38528"
"Myrcia_spectabilis",-20.29139,"-40.51944"
"Myrcia_excoriata",-20.30083,"-40.54667"
"Myrcia_excoriata",-20.29139,"-40.51944"
"Myrcia_subterminalis",-20.29139,"-40.51944"
"Myrcia_spectabilis",-20.29139,"-40.51944"
"Myrcia_spectabilis",-20.29139,"-40.51944"
"Myrcia_vittoriana",-15.15,"-39.06667"
"Myrcia_subterminalis",-15.14889,"-39.3175"
"Myrcia_micropetala",-14.61667,"-39.41667"
"Myrcia_sucrei",-14.310275,"-39.028412"
"Myrcia_tenuivenosa",-8.553611,"-35.14667"
"Myrcia_tetraphylla",-15.15,"-39.08333"
"Myrcia_tetraphylla",-15.219002,"-39.033419"
"Myrcia_spectabilis",-8.489722,"-35.66722"
"Myrcia_spectabilis",-8.077778,"-34.96667"
"Myrcia_tenuivenosa",-9.244167,"-36.42472"
"Myrcia_decorticans",-11.22389,"-37.25306"
"Myrcia_tenuivenosa",-9.244167,"-36.42472"
"Myrcia_spectabilis",-8.714722,"-35.84278"
"Myrcia_vittoriana",-18.456472,"-39.715055"
"Myrcia_spectabilis",-22.955,"-43.28889"
"Myrcia_spectabilis",-22.54528,"-42.29639"
"Myrcia_vittoriana",-14.26306,"-39.00028"
"Myrcia_vittoriana",-16.36889,"-39.14472"
"Myrcia_vittoriana",-15.09972,"-39.0125"
"Myrcia_neuwiedeana",-19.158846,"-40.023077"
"Myrcia_ruschii",-19.965,"-40.53139"
"Myrcia_spectabilis",-23.509681,"-45.174958"
"Myrcia_spectabilis",-23.509681,"-45.174958"
"Myrcia_excoriata",-8.711944,"-35.09083"
"Myrcia_spectabilis",-7.672569,"-34.903958"
"Myrcia_spectabilis",-7.501389,"-35.00222"
"Myrcia_tenuivenosa",-8.553611111,"-35.14666667"
"Myrcia_spectabilis",-8.719722,"-35.84389"
"Myrcia_spectabilis",-8.083333,"-34.94389"
"Myrcia_spectabilis",-22.45698565,"-42.99071207"
"Myrcia_vittoriana",-8.066667,"-34.88333"
"Myrcia_vittoriana",-8.004295,"-34.945699"
"Myrcia_spectabilis",-8.004295,"-34.945699"
"Myrcia_pubipetala",-23.42896861,"-46.63324754"
"Myrcia_hartwegiana",-20.09097645,"-43.94533806"
"Myrcia_spectabilis",-19.72559,"-41.816545"
"Myrcia_hartwegiana",-20.09097645,"-43.94533806"
"Myrcia_lenheirensis",-21.7,"-43.88333"
"Myrcia_spectabilis",-19.72559,"-41.816545"
"Myrcia_spectabilis",-19.72559,"-41.816545"
"Myrcia_spectabilis",-19.66667,"-41.83333"
"Myrcia_anceps",-19.72559,"-41.816545"
"Myrcia_decorticans",-11.30444,"-37.34472"
"Myrcia_brasiliensis",-22.973264,"-43.249464"
"Myrcia_laxiflora",-20.291389,"-40.519444"
"Myrcia_hebepetala",-23.54306,"-47.2075"
"Myrcia_hatschbachii",-25.321722,"-49.15966"
"Myrcia_hatschbachii",-25.321722,"-49.15966"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_lenheirensis",-21.96694,"-43.88806"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_lenheirensis",-21.973333,"-43.8875"
"Myrcia_lenheirensis",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_excoriata",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_hartwegiana",-20.5,"-41.666"
"Myrcia_hartwegiana",-22.4991577496141,"-45.1421862974254"
"Myrcia_hartwegiana",-22.4991577496141,"-45.1421862974254"
"Myrcia_hartwegiana",-22.4991577496141,"-45.1421862974254"
"Myrcia_hebepetala",-22.4991577496141,"-45.1421862974254"
"Myrcia_pubipetala",-24.55,"-47.25"
"Myrcia_brasiliensis",-24.526282,"-47.25424"
"Myrcia_brasiliensis",-24.526282,"-47.25424"
"Myrcia_brasiliensis",-24.526282,"-47.25424"
"Myrcia_brasiliensis",-24.380456,"-47.07882"
"Myrcia_pubipetala",-24.69901,"-47.55366"
"Myrcia_brasiliensis",-24.380456,"-47.07882"
"Myrcia_brasiliensis",-24.526282,"-47.25424"
"Myrcia_decorticans",-12.787364,"-38.40272"
"Myrcia_brasiliensis",-24.380456,"-47.07882"
"Myrcia_hebepetala",-23.58801262,"-46.70229543"
"Myrcia_brasiliensis",-24.235556,"-48.078333"
"Myrcia_insigniflora",-23.36639,"-45.08417"
"Myrcia_pubipetala",-23.36639,"-45.08417"
"Myrcia_spectabilis",-23.373498,"-45.080223"
"Myrcia_excoriata",-23.36639,"-45.08417"
"Myrcia_spectabilis",-23.772078,"-46.288919"
"Myrcia_hartwegiana",-22.68985441,"-45.48118969"
"Myrcia_oblongata",-28.05528,"-50.56833"
"Myrcia_excoriata",-22.973264,"-43.249464"
"Myrcia_vittoriana",-23.011824,"-43.395438"
"Myrcia_spectabilis",-22.204495,"-41.500341"
"Myrcia_spectabilis",-22.4666,"-42.6538"
"Myrcia_anceps",-22.1970329,"-41.50315857"
"Myrcia_vittoriana",-23,"-43.35"
"Myrcia_brasiliensis",-22,"-42"
"Myrcia_spectabilis",-22.58333,"-42.28333"
"Myrcia_spectabilis",-22.58333,"-42.28333"
"Myrcia_anceps",-22.56667,"-42.26667"
"Myrcia_obversa",-21.277018,"-40.964998"
"Myrcia_spectabilis",-22.45,"-42.833333"
"Myrcia_brasiliensis",-22.968364,"-43.045497"
"Myrcia_decorticans",-9.539722,"-35.93639"
"Myrcia_excoriata",-10.59528,"-37.18361"
"Myrcia_hebepetala",-23.65855089,"-47.21145553"
"Myrcia_hatschbachii",-25.1858,"-49.3125"
"Myrcia_excoriata",-20.3,"-41.13333"
"Myrcia_hebepetala",-23.23130532,"-46.93592719"
"Myrcia_eugeniopsoides",-24.306382,"-48.217619"
"Myrcia_flagellaris",-24.08333,"-48.36667"
"Myrcia_flagellaris",-24.306382,"-48.217619"
"Myrcia_flagellaris",-24.306382,"-48.217619"
"Myrcia_eugeniopsoides",-24.306382,"-48.217619"
"Myrcia_spectabilis",-24.306382,"-48.217619"
"Myrcia_eugeniopsoides",-24.306382,"-48.217619"
"Myrcia_excoriata",-8.313556,"-34.983607"
"Myrcia_spectabilis",-24.306382,"-48.217619"
"Myrcia_hebepetala",-22.9303,"-46.2756"
"Myrcia_brasiliensis",-14.55,"-39.93333"
"Myrcia_brasiliensis",-14.55,"-39.93333"
"Myrcia_hebepetala",-22.814534,"-47.091633"
"Myrcia_hartwegiana",-23.45694,"-46.76583"
"Myrcia_brasiliensis",-22.8175,"-46.80889"
"Myrcia_hartwegiana",-23.36639,"-46.53722"
"Myrcia_hartwegiana",-23.35722,"-46.52417"
"Myrcia_hartwegiana",-23.35722,"-46.52417"
"Myrcia_eugeniopsoides",-24.57056,"-48.66417"
"Myrcia_flagellaris",-24.55778,"-48.71972"
"Myrcia_flagellaris",-24.40278,"-48.2975"
"Myrcia_eugeniopsoides",-24.36639,"-48.13"
"Myrcia_flagellaris",-24.40278,"-48.29778"
"Myrcia_hartwegiana",-24.4275,"-48.68056"
"Myrcia_tijucensis",-23.4542666,"-46.63607102"
"Myrcia_hartwegiana",-23.2,"-45.01611"
"Myrcia_tijucensis",-23.4542666,"-46.63607102"
"Myrcia_hartwegiana",-22.501322,"-45.138007"
"Myrcia_hebepetala",-22.540385,"-45.170921"
"Myrcia_tijucensis",-23.4542666,"-46.63607102"
"Myrcia_vittoriana",-18.65472,"-39.74278"
"Myrcia_neuwiedeana",-18.69556,"-39.79472"
"Myrcia_vittoriana",-20.26667,"-40.26639"
"Myrcia_vittoriana",-19.60853,"-39.82583"
"Myrcia_neuwiedeana",-18.70417,"-39.795"
"Myrcia_eumecephylla",-18.14586,"-40.31717"
"Myrcia_vittoriana",-20.58611,"-40.41028"
"Myrcia_vittoriana",-20.58611,"-40.41028"
"Myrcia_vittoriana",-20.58611,"-40.41028"
"Myrcia_obversa",-20.60196,"-40.42542"
"Myrcia_neuwiedeana",-20.258191,"-40.260161"
"Myrcia_vittoriana",-20.58611,"-40.41028"
"Myrcia_vittoriana",-20.58611,"-40.41028"
"Myrcia_obversa",-19.28806,"-39.69278"
"Myrcia_insigniflora",-23.36436286,"-44.8248876"
"Myrcia_hebepetala",-19.987778,"-40.774167"
"Myrcia_tenuifolia",-19.835,"-40.68667"
"Myrcia_brasiliensis",-23.360556,"-44.834722"
"Myrcia_flagellaris",-24.30885331,"-48.27363282"
"Myrcia_brasiliensis",-23.36436286,"-44.8248876"
"Myrcia_brasiliensis",-23.35,"-44.866667"
"Myrcia_pubipetala",-23.36413,"-44.82487"
"Myrcia_neoriedeliana",-23.36436286,"-44.8248876"
"Myrcia_decorticans",-12.57069087,"-38.02808424"
"Myrcia_neoriedeliana",-23.36436286,"-44.8248876"
"Myrcia_insigniflora",-23.35948,"-44.8511"
"Myrcia_pubipetala",-23.33694,"-44.83556"
"Myrcia_brasiliensis",-23.33695,"-44.835562"
"Myrcia_brasiliensis",-23.336949,"-44.835561"
"Myrcia_brasiliensis",-23.336944,"-44.835556"
"Myrcia_excoriata",-11.21028,"-37.26528"
"Myrcia_hatschbachii",-27.40639,"-49.82139"
"Myrcia_flagellaris",-23.813027,"-46.723281"
"Myrcia_flagellaris",-23.81861,"-46.71694"
"Myrcia_bicolor",-23.81875,"-46.71694"
"Myrcia_spectabilis",-22.95806,"-43.44556"
"Myrcia_neoriedeliana",-25.12855843,"-47.93642247"
"Myrcia_pubipetala",-23.851765,"-45.336142"
"Myrcia_spectabilis",-23.818444,"-45.296789"
"Myrcia_hartwegiana",-23.4590034,"-46.7553369"
"Myrcia_hartwegiana",-23.98588289,"-46.74281133"
"Myrcia_spectabilis",-23.42896861,"-46.63324754"
"Myrcia_pubipetala",-23.41667,"-46.65"
"Myrcia_spectabilis",-23.405456,"-46.583587"
"Myrcia_hebepetala",-24.1367,"-47.9608"
"Myrcia_flagellaris",-23.9397254,"-47.19775576"
"Myrcia_brasiliensis",-23.9397254,"-47.19775576"
"Myrcia_pubipetala",-23.42896861,"-46.63324754"
"Myrcia_pubipetala",-25.0167,"-47.95"
"Myrcia_pubipetala",-23.53291,"-46.63952"
"Myrcia_decorticans",-6.083333,"-35.23333"
"Myrcia_laxiflora",-22.524284,"-43.111051"
"Myrcia_oblongata",-27.356327,"-53.109679"
"Myrcia_eugeniopsoides",-29.30238226,"-49.92139264"
"Myrcia_eugeniopsoides",-26.01667,"-48.85"
"Myrcia_neoriedeliana",-25.16,"-48.27972"
"Myrcia_hartwegiana",-28.4525,"-50.01861"
"Myrcia_pubipetala",-24.85472,"-48.72694"
"Myrcia_hartwegiana",-25.883333,"-49.25"
"Myrcia_spectabilis",-22.973264,"-43.249464"
"Myrcia_spectabilis",-22.973264,"-43.249464"
"Myrcia_plusiantha",-24.92056,"-48.25917"
"Myrcia_brasiliensis",-14.85833,"-40.79972"
"Myrcia_spectabilis",-25.580096,"-48.595579"
"Myrcia_brasiliensis",-25.9031,"-48.6252"
"Myrcia_hartwegiana",-25.5889,"-49.3478"
"Myrcia_brasiliensis",-23.34861,"-44.9275"
"Myrcia_hebepetala",-23.23694,"-47.04278"
"Myrcia_hebepetala",-22.61167,"-47.60056"
"Myrcia_hartwegiana",-22.7,"-45.48333"
"Myrcia_hartwegiana",-22.7,"-45.48333"
"Myrcia_hartwegiana",-22.7394,"-45.5914"
"Myrcia_hartwegiana",-23.26667,"-45.95"
"Myrcia_eugeniopsoides",-23.838889,"-46.74"
"Myrcia_flagellaris",-23.838889,"-46.74"
"Myrcia_excoriata",-23.83889,"-46.74"
"Myrcia_brasiliensis",-23.89318918,"-46.15465631"
"Myrcia_spectabilis",-23.89318918,"-46.15465631"
"Myrcia_excoriata",-23.55101241,"-46.93927889"
"Myrcia_hartwegiana",-24.013028,"-46.665778"
"Myrcia_neoregeliana",-23.925827,"-46.728449"
"Myrcia_excoriata",-23.93540041,"-46.70433099"
"Myrcia_tijucensis",-23.570868,"-47.026493"
"Myrcia_bicolor",-23.925827,"-46.728449"
"Myrcia_spectabilis",-23.948333,"-46.727222"
"Myrcia_bicolor",-23.948333,"-46.727222"
"Myrcia_bicolor",-23.948333,"-46.727222"
"Myrcia_hartwegiana",-23.81208432,"-46.72682614"
"Myrcia_laxiflora",-24.097778,"-46.776667"
"Myrcia_brasiliensis",-23.360232,"-44.850908"
"Myrcia_flagellaris",-23.93540041,"-46.70433099"
"Myrcia_neoregeliana",-23.948333,"-46.727222"
"Myrcia_excoriata",-23.565335,"-47.020815"
"Myrcia_laxiflora",-24.097778,"-46.776667"
"Myrcia_spectabilis",-23.93540041,"-46.70433099"
"Myrcia_tenuivenosa",-23.93540041,"-46.70433099"
"Myrcia_excoriata",-27.047778,"-49.095278"
"Myrcia_tenuivenosa",-23.93540041,"-46.70433099"
"Myrcia_pubipetala",-23.82561759,"-46.73445228"
"Myrcia_excoriata",-23.82561759,"-46.73445228"
"Myrcia_pubipetala",-23.53291,"-46.63952"
"Myrcia_brasiliensis",-23.935,"-46.795278"
"Myrcia_tijucensis",-23.82561759,"-46.73445228"
"Myrcia_pubipetala",-23.831077,"-46.726245"
"Myrcia_hartwegiana",-29.5625,"-50.206111"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_excoriata",-22.94643607,"-43.00409816"
"Myrcia_tijucensis",-22.9225,"-43.02306"
"Myrcia_laxiflora",-22.59389,"-43.03389"
"Myrcia_eugeniopsoides",-25.133611,"-47.961667"
"Myrcia_spectabilis",-25.133611,"-47.961667"
"Myrcia_pubipetala",-25.133611,"-47.961667"
"Myrcia_hebepetala",-25.0188,"-47.9304"
"Myrcia_brasiliensis",-25.13361394,"-47.96166547"
"Myrcia_brasiliensis",-25.13361394,"-47.96166547"
"Myrcia_costeira",-25.19338,"-47.98376"
"Myrcia_brasiliensis",-25.133611,"-47.961667"
"Myrcia_spectabilis",-25.133611,"-47.961667"
"Myrcia_brasiliensis",-25.13361394,"-47.96166547"
"Myrcia_hebepetala",-25.0186,"-47.9302"
"Myrcia_spectabilis",-25.12855843,"-47.93642247"
"Myrcia_tijucensis",-25.12855843,"-47.93642247"
"Myrcia_pubipetala",-25.12855843,"-47.93642247"
"Myrcia_eugeniopsoides",-25.12855843,"-47.93642247"
"Myrcia_hebepetala",-25.0187,"-47.9303"
"Myrcia_brasiliensis",-25.133611,"-47.961667"
"Myrcia_pubipetala",-25.133611,"-47.961667"
"Myrcia_costeira",-25.19338,"-47.98376"
"Myrcia_plusiantha",-25.19338,"-47.98376"
"Myrcia_hartwegiana",-25.13361394,"-47.96166547"
"Myrcia_hartwegiana",-25.13361394,"-47.96166547"
"Myrcia_hartwegiana",-25.13361394,"-47.96166547"
"Myrcia_oblongata",-23.604,"-46.919"
"Myrcia_flagellaris",-24.306382,"-48.217619"
"Myrcia_spectabilis",-25.133611,"-47.961667"
"Myrcia_hebepetala",-25.13361394,"-47.96166547"
"Myrcia_hebepetala",-25.13361394,"-47.96166547"
"Myrcia_vittoriana",-14.8063,"-39.0601"
"Myrcia_tenuivenosa",-22.4475,"-44.613056"
"Myrcia_plusiantha",-22.49611,"-44.56306"
"Myrcia_decorticans",-12.02389,"-38.3"
"Myrcia_oblongata",-26.83557426,"-55.71390445"
"Myrcia_eugeniopsoides",-25.051389,"-48.095"
"Myrcia_spectabilis",-25.12855843,"-47.93642247"
"Myrcia_hexasticha",-25.12859837,"-47.9365908"
"Myrcia_flagellaris",-23.26806,"-44.81194"
"Myrcia_spectabilis",-19.96667,"-40.53333"
"Myrcia_excoriata",-19.97139,"-40.53028"
"Myrcia_neoregeliana",-12.436946,"-38.953259"
"Myrcia_decorticans",-12.95167,"-38.42"
"Myrcia_excoriata",-12.04056,"-37.70722"
"Myrcia_decorticans",-12.530489,"-38.300911"
"Myrcia_obversa",-15.36667,"-39.56667"
"Myrcia_eumecephylla",-16.38,"-39.58"
"Myrcia_eumecephylla",-16.87257,"-39.28047"
"Myrcia_vittoriana",-14.1071,"-39.017"
"Myrcia_vittoriana",-14.1069,"-39.0168"
"Myrcia_excoriata",-14.1079,"-39.0178"
"Myrcia_spectabilis",-14.1073,"-39.0172"
"Myrcia_laxiflora",-22.524284,"-43.111051"
"Myrcia_eumecephylla",-19.158846,"-40.023077"
"Myrcia_decorticans",-12.96667,"-38.5"
"Myrcia_brasiliensis",-23.36436286,"-44.8248876"
"Myrcia_brasiliensis",-23.36436286,"-44.8248876"
"Myrcia_pubipetala",-23.4398,"-45.0769"
"Myrcia_spectabilis",-24.383733,"-47.931432"
"Myrcia_flagellaris",-24.383733,"-47.931432"
"Myrcia_eugeniopsoides",-24.855983,"-47.894611"
"Myrcia_spectabilis",-24.855983,"-47.894611"
"Myrcia_eugeniopsoides",-24.715,"-47.881"
"Myrcia_hebepetala",-22.8214823,"-47.11077061"
"Myrcia_hartwegiana",-22.78333,"-46.45"
"Myrcia_hebepetala",-23.689749,"-47.092403"
"Myrcia_hebepetala",-23.689749,"-47.092403"
"Myrcia_tijucensis",-23.728088,"-47.114699"
"Myrcia_tijucensis",-23.689749,"-47.092403"
"Myrcia_brasiliensis",-23.72809,"-47.1147"
"Myrcia_excoriata",-23.76789,"-47.04572"
"Myrcia_oblongata",-23.67553,"-46.95892"
"Myrcia_spectabilis",-23.42261,"-45.13336"
"Myrcia_excoriata",-23.4339,"-45.0711"
"Myrcia_spectabilis",-23.42183,"-45.12758"
"Myrcia_spectabilis",-23.42247,"-45.13297"
"Myrcia_hartwegiana",-21.973333,"-43.8875"
"Myrcia_oblongata",-29.163417,"-51.151972"
"Myrcia_oblongata",-27.86650316,"-55.1373138"
"Myrcia_pubipetala",-22.90535,"-47.06595"
"Myrcia_hartwegiana",-22.87025,"-47.07717"
"Myrcia_brasiliensis",-24.526282,"-47.25424"
"Myrcia_eugeniopsoides",-24,"-47"
"Myrcia_hebepetala",-20.3884,"-43.5045"
"Myrcia_hebepetala",-19.9844,"-43.4532"
"Myrcia_tijucensis",-23.96056,"-46.33333"
"Myrcia_hebepetala",-20.3884,"-43.5045"
"Myrcia_flagellaris",-24.235556,"-48.078333"
"Myrcia_excoriata",-17.1325,"-40.42139"
"Myrcia_eugeniopsoides",-27.02194444,"-49.47888889"
"Myrcia_hartwegiana",-26.29071,"-51.558551"
"Myrcia_hebepetala",-26.29071,"-51.558551"
"Myrcia_hebepetala",-26.29071,"-51.558551"
"Myrcia_spectabilis",-22,"-42.05"
"Myrcia_hebepetala",-23.63911417,"-46.62612569"
"Myrcia_hartwegiana",-23.604,"-46.919"
"Myrcia_flagellaris",-25,"-48"
"Myrcia_spectabilis",-23.768274,"-46.76837"
"Myrcia_glazioviana",-23.768274,"-46.76837"
"Myrcia_hartwegiana",-23.98588289,"-46.74281133"
"Myrcia_pubipetala",-23.785851,"-46.733291"
"Myrcia_hartwegiana",-25.37013498,"-50.00663609"
"Myrcia_hartwegiana",-24.125278,"-52.366944"
"Myrcia_oblongata",-23.454171,"-46.737607"
"Myrcia_excoriata",-20.8062,"-42.0131"
"Myrcia_vittoriana",-19.15458,"-40.01989"
"Myrcia_spectabilis",-27.10083,"-48.88972"
"Myrcia_eugeniopsoides",-26.92222,"-49.07917"
"Myrcia_hartwegiana",-25.1376,"-48.8218"
"Myrcia_hartwegiana",-25.2499,"-48.8059"
"Myrcia_hartwegiana",-29.3359,"-49.7304"
"Myrcia_tenuifolia",-14.81667,"-39.05"
"Myrcia_tenuifolia",-14.775,"-39.1268"
"Myrcia_plusiantha",-15.15972,"-39.03917"
"Myrcia_hatschbachii",-25.34333,"-49.35444"
"Myrcia_hatschbachii",-25.38528,"-49.27361"
"Myrcia_hatschbachii",-25.4481,"-49.2404"
"Myrcia_oblongata",-28.5689,"-51.0031"
"Myrcia_hartwegiana",-25.4687,"-49.0004"
"Myrcia_spectabilis",-25.5917,"-48.8723"
"Myrcia_hartwegiana",-25.6062,"-48.8689"
"Myrcia_hartwegiana",-25.6062,"-48.8689"
"Myrcia_hartwegiana",-25.2232,"-48.8191"
"Myrcia_excoriata",-7.923994412,"-34.93367282"
"Myrcia_oblongata",-24.111389,"-50.723333"
"Myrcia_oblongata",-24.111389,"-50.723333"
"Myrcia_pubipetala",-25.621559,"-48.506494"
"Myrcia_eugeniopsoides",-25.5804,"-48.6469"
"Myrcia_spectabilis",-25.58628618,"-48.65503202"
"Myrcia_spectabilis",-25.6389,"-48.6152"
"Myrcia_spectabilis",-25.6389,"-48.6152"
"Myrcia_eugeniopsoides",-25.6389,"-48.6152"
"Myrcia_spectabilis",-25.63884326,"-48.61526911"
"Myrcia_flagellaris",-25.63884326,"-48.61526911"
"Myrcia_pubipetala",-25.1782203,"-48.29871628"
"Myrcia_obversa",-14.49135,"-39.169"
"Myrcia_ruschii",-19.971389,"-40.530278"
"Myrcia_excoriata",-19.971389,"-40.530278"
"Myrcia_oblongata",-28.877466,"-50.976474"
"Myrcia_oblongata",-24.96424443,"-53.43752975"
"Myrcia_oblongata",-24.965498,"-53.433945"
"Myrcia_hexasticha",-25.13361394,"-47.96166547"
"Myrcia_neoriedeliana",-25.76334492,"-48.73201816"
"Myrcia_brasiliensis",-25.9031,"-48.6252"
"Myrcia_eugeniopsoides",-24.0327,"-47.5943"
"Myrcia_excoriata",-19.70444444,"-42.51638889"
"Myrcia_oblongata",-27.90161,"-50.72568"
"Myrcia_hebepetala",-26.08285431,"-48.64048832"
"Myrcia_sucrei",-19.86667,"-40.53333"
"Myrcia_tenuivenosa",-19.965254,"-40.540487"
"Myrcia_tenuivenosa",-19.96667,"-40.53333"
"Myrcia_eumecephylla",-18.97556,"-40.76944"
"Myrcia_bicolor",-22.23361,"-42.08306"
"Myrcia_bicolor",-23.32985,"-44.60899"
"Myrcia_excoriata",-22.512067,"-43.004496"
"Myrcia_glazioviana",-21.960043,"-42.007686"
