"species","lat","lon"
"Myrcia_oblongata",-20.0039,"-41.746"
"Myrcia_oblongata",-29.55119,"-53.81016"
"Myrcia_oblongata",-28.279768,"-54.291407"
"Myrcia_glazioviana",-29.676734,"-50.206698"
"Myrcia_hartwegiana",-29.31551271,"-50.80733814"
"Myrcia_decorticans",-12.77761038,"-38.77185271"
"Myrcia_oblongata",-28.05528,"-50.56861"
"Myrcia_hebepetala",-20.360873,"-43.487668"
"Myrcia_pubipetala",-24.05555,"-47.99463"
"Myrcia_hebepetala",-23.42896861,"-46.63324754"
"Myrcia_hartwegiana",-22.7394,"-45.5914"
"Myrcia_hartwegiana",-22.7394,"-45.5914"
"Myrcia_hartwegiana",-22.716667,"-45.566667"
"Myrcia_eugeniopsoides",-23.42896861,"-46.63324754"
"Myrcia_hebepetala",-22.68985441,"-45.48118969"
"Myrcia_hebepetala",-23.087222,"-46.643889"
"Myrcia_pubipetala",-23.42141489,"-46.62150602"
"Myrcia_spectabilis",-23.40549003,"-46.58362289"
"Myrcia_hebepetala",-23.42896861,"-46.63324754"
"Myrcia_pubipetala",-23.42896861,"-46.63324754"
"Myrcia_hartwegiana",-21.71667,"-50.11667"
"Myrcia_spectabilis",-23.9397254,"-47.19775576"
"Myrcia_excoriata",-23.9397254,"-47.19775576"
"Myrcia_hebepetala",-23.42896861,"-46.63324754"
"Myrcia_hebepetala",-23.41667,"-46.65"
"Myrcia_hebepetala",-23.4542666,"-46.63607102"
"Myrcia_ferruginosa",-23.42896861,"-46.63324754"
"Myrcia_pubipetala",-23.40549003,"-46.58362289"
"Myrcia_neuwiedeana",-23.332675,"-46.6864895"
"Myrcia_hebepetala",-23.854271,"-45.405643"
"Myrcia_hebepetala",-23.0259,"-47.1209"
"Myrcia_decorticans",-12.77761038,"-38.77185271"
"Myrcia_excoriata",-13.48506653,"-39.04526316"
"Myrcia_excoriata",-12.55,"-41.38333"
"Myrcia_neuwiedeana",-12.76667,"-38.91667"
"Myrcia_decorticans",-12.93333,"-39.51667"
"Myrcia_decorticans",-12.93333,"-39.51667"
"Myrcia_spectabilis",-24.30885331,"-48.27363282"
"Myrcia_flagellaris",-24.23556,"-48.08056"
"Myrcia_flagellaris",-24.235556,"-48.078333"
"Myrcia_spectabilis",-24.30885331,"-48.27363282"
"Myrcia_eugeniopsoides",-24.235556,"-48.078333"
"Myrcia_spectabilis",-24.30885331,"-48.27363282"
"Myrcia_spectabilis",-23.76929,"-46.29731"
"Myrcia_brasiliensis",-23.70444,"-46.70444"
"Myrcia_pubipetala",-22.39637,"-42.51252"
"Myrcia_ferruginosa",-23.2421297899488,"-44.639317389814"
"Myrcia_excoriata",-10.800009,"-36.989973"
"Myrcia_decorticans",-11.014722,"-37.206389"
"Myrcia_decorticans",-11.00528,"-37.12222"
"Myrcia_neoregeliana",-14.280124,"-38.994636"
"Myrcia_ferruginosa",-14.65,"-39.53333"
"Myrcia_hebepetala",-21.24528,"-44.99944"
"Myrcia_hebepetala",-21.24528,"-44.99944"
"Myrcia_hartwegiana",-22.608972,"-45.346333"
"Myrcia_pubipetala",-24.01127,"-48.34822"
"Myrcia_decorticans",-7.716111,"-34.99056"
"Myrcia_vittoriana",-15.28333,"-39.06667"
"Myrcia_vittoriana",-20.4675,"-40.34389"
